feature,importance
cat__Surname_Ignatiev,0.00036657043083442584
cat__Surname_Simmons,0.0003663960864099149
cat__Surname_Teng,0.00036544723617506754
cat__Surname_Kruglov,0.0003621593814943226
cat__Surname_Cole,0.0003603760987810715
cat__Surname_Fleming,0.000359680062035475
cat__Surname_Kennedy,0.00035914508615429567
cat__Surname_Chandler,0.00035712942996137697
cat__Surname_Ch'eng,0.0003570080403255033
cat__Surname_Glover,0.00035686815754876655
cat__Surname_Fan,0.00035562053642155606
cat__Surname_Gallo,0.0003554096966660939
cat__Surname_Artemieva,0.0003547723505637642
cat__Surname_Weber,0.00035469790523404035
cat__Surname_Jones,0.00035381175951965804
cat__Surname_West,0.00035361185170227667
cat__Surname_Fraser,0.0003526948113034831
cat__Surname_Nnaife,0.00035237036726387265
cat__Surname_Sagese,0.0003521942458844239
cat__Surname_Moretti,0.0003520687802213567
cat__Surname_Gordon,0.00035182038427118885
cat__Surname_Wan,0.00035153148155155924
cat__Surname_Davison,0.0003514191254272239
cat__Surname_Esposito,0.0003510044376906449
cat__Surname_Iloerika,0.00035089058601327
cat__Surname_Parkhill,0.00035034301275440374
cat__Surname_Peng,0.00035030554355720784
cat__Surname_Turnbull,0.0003501144874137313
cat__Surname_Balashova,0.00034851357182971027
cat__Surname_Wyatt,0.0003482055318928591
cat__Surname_Harding,0.00034789721218309836
cat__Surname_Okwuoma,0.0003472065479842998
cat__Surname_Kelly,0.0003459501940363457
cat__Surname_Thornton,0.0003456283255457096
cat__Surname_Hawkins,0.0003453469756526126
cat__Surname_Yudina,0.0003452276146233141
cat__Surname_Dean,0.0003442038197032919
cat__Surname_Christie,0.0003415499041780805
cat__Surname_Rene,0.00034099461717701556
cat__Surname_Han,0.0003408333925800039
cat__Surname_Vasilyev,0.0003378803304794974
cat__Surname_Chinomso,0.00033767549827757703
cat__Surname_Y?an,0.0003354165360269154
cat__Surname_Milne,0.0003348677857186237
cat__Surname_Chao,0.00033477600434342645
cat__Surname_Nkemdirim,0.00033438923392870273
cat__Surname_Madukwe,0.0003325522538880558
cat__Surname_Stephenson,0.00033213575777397855
cat__Surname_Corser,0.00033149220919738816
cat__Surname_Hs?eh,0.0003312136660408535
cat__Surname_Tao,0.0003303692884788961
cat__Surname_Toscano,0.0003301025999695733
cat__Surname_Wood,0.0003300049360824927
cat__Surname_Dalrymple,0.0003288211397058241
cat__Surname_Pennington,0.0003282977066386194
cat__Surname_Brennan,0.00032823619525982803
cat__Surname_Marino,0.00032821623434600445
cat__Surname_Uspensky,0.00032767706482276295
cat__Surname_Harrison,0.00032701245374634416
cat__Surname_Lawrence,0.00032686090718901564
cat__Surname_Milani,0.0003268108184390008
cat__Surname_Schmidt,0.00032643608743406784
cat__Surname_Briggs,0.0003260454668262649
cat__Surname_Archer,0.0003252590898352599
cat__Surname_Hardy,0.00032458916861265906
cat__Surname_Bogdanov,0.00032378282388625793
cat__Surname_Obiajulu,0.00032351685745454886
cat__Surname_Walton,0.00032315787795698936
cat__Surname_Chukwuhaenye,0.0003228280056823103
cat__Surname_Cox,0.0003224295042111351
cat__Surname_Rees,0.0003223797425208562
cat__Surname_Rogers,0.00032232788881237073
cat__Surname_Uspenskaya,0.0003219341800207979
cat__Surname_Jibunoh,0.0003210615178422927
cat__Surname_Nwabugwu,0.0003208759366016199
cat__Surname_Akabueze,0.0003201677162952797
cat__Surname_Charlton,0.0003200359768928023
cat__Surname_Fomin,0.0003194835369535042
cat__Surname_Kambinachi,0.00031821767236931174
cat__Surname_Onwumelu,0.00031775750300401095
cat__Surname_Nucci,0.00031756629891668364
cat__Surname_Noble,0.000316666278237872
cat__Surname_Ruth,0.000315835561762389
cat__Surname_Willis,0.00031570272627359216
cat__Surname_Algarin,0.00031502867778357923
cat__Surname_Trujillo,0.0003144580864460378
cat__Surname_Duggan,0.00031430009448533654
cat__Surname_Allen,0.00031407920902659994
cat__Surname_Marshall-Hall,0.00031390248531834765
